order_id,payment_type,payment_installments,payment_value
ord_000182,debit_card,1,239.45
ord_000183,credit_card,3,318.01
ord_000184,credit_card,1,529.7
ord_000185,credit_card,1,659.25
ord_000186,credit_card,4,1063.99
ord_000187,boleto,1,604.3
ord_000188,credit_card,5,1159.46
ord_000189,boleto,1,496.6
ord_000190,boleto,1,592.26
ord_000191,credit_card,1,266.52
ord_000192,debit_card,1,811.61
ord_000193,boleto,1,369.32
ord_000194,boleto,1,99.63
ord_000195,credit_card,5,253.88
ord_000196,credit_card,1,227.88
ord_000197,credit_card,4,157.28
ord_000198,boleto,1,1152.13
ord_000199,boleto,1,386.51
ord_000200,boleto,1,1266.26
ord_000201,boleto,1,162.29
ord_000202,boleto,1,161.42
ord_000203,voucher,1,414.17
ord_000204,credit_card,1,1451.06
ord_000205,credit_card,1,233.52
ord_000206,boleto,1,364.87
ord_000207,credit_card,6,41.49
ord_000208,credit_card,3,641.21
ord_000209,credit_card,1,448.49
ord_000210,credit_card,12,428.74
ord_000211,boleto,1,572.41
ord_000212,voucher,1,907.39
ord_000213,debit_card,1,1903.59
ord_000214,credit_card,8,152.19
ord_000215,credit_card,6,397.36
ord_000216,credit_card,3,614.61
ord_000217,credit_card,6,193.65
ord_000218,boleto,1,501.36
ord_000219,credit_card,1,613.31
ord_000220,credit_card,1,417.15
ord_000221,boleto,1,1004.04
ord_000222,debit_card,1,977.11
ord_000223,credit_card,5,38.09
ord_000224,credit_card,6,182.95
ord_000225,debit_card,1,104.1
ord_000226,boleto,1,169.44
ord_000227,credit_card,8,28.66
ord_000228,credit_card,1,355.16
ord_000229,credit_card,4,89.97
ord_000230,credit_card,1,1102.12
ord_000231,boleto,1,169.2
ord_000232,credit_card,6,252.94
ord_000233,credit_card,1,523.53
ord_000234,boleto,1,380.86
ord_000235,boleto,1,242.29
ord_000236,credit_card,1,1319.05
ord_000237,voucher,1,103.19
ord_000238,voucher,1,320.02
ord_000239,credit_card,3,650.49
ord_000240,credit_card,4,667.43
ord_000241,boleto,1,162.61
ord_000242,boleto,1,613.36
ord_000243,boleto,1,267.77
ord_000244,boleto,1,348.98
ord_000245,voucher,1,554.95
ord_000246,boleto,1,564.53
ord_000247,boleto,1,760.29
ord_000248,credit_card,12,751.97
ord_000249,boleto,1,224.17
ord_000250,credit_card,3,397.85
ord_000251,credit_card,8,497.21
ord_000252,voucher,1,371.86
ord_000253,credit_card,5,489.6
ord_000254,credit_card,1,122.59
ord_000255,credit_card,4,130.11
ord_000256,credit_card,12,547.77
ord_000257,credit_card,3,83.61
ord_000258,debit_card,1,1228.31
ord_000259,debit_card,1,153.95
ord_000260,debit_card,1,627.37
ord_000261,boleto,1,591.49
ord_000262,credit_card,3,1184.2
ord_000263,boleto,1,774.03
ord_000264,debit_card,1,704.94
ord_000265,credit_card,12,857.26
ord_000266,voucher,1,434.06
ord_000267,credit_card,4,998.03
ord_000268,boleto,1,835.88
ord_000269,debit_card,1,544.51
ord_000270,debit_card,1,321.41
ord_000271,boleto,1,912.05
ord_000272,credit_card,8,610.35
ord_000273,boleto,1,1102.86
ord_000274,boleto,1,400.54
ord_000275,boleto,1,487.17
ord_000276,debit_card,1,215.62
ord_000277,credit_card,2,355.69
ord_000278,credit_card,1,781.28
ord_000279,boleto,1,620.07
ord_000280,debit_card,1,743.78
ord_000281,credit_card,1,180.14
ord_000282,boleto,1,76.1
ord_000283,credit_card,1,353.41
ord_000284,credit_card,10,418.59
ord_000285,boleto,1,139.55
ord_000286,credit_card,10,244.17
ord_000287,credit_card,6,385.24
ord_000288,credit_card,1,274.62
ord_000289,boleto,1,316.4
ord_000290,credit_card,1,300.08
ord_000291,credit_card,1,1004.92
ord_000292,credit_card,1,156.56
ord_000293,credit_card,2,508.2
ord_000294,boleto,1,313.42
ord_000295,voucher,1,361.71
ord_000296,credit_card,8,586.59
ord_000297,credit_card,3,564.74
ord_000298,credit_card,1,388.46
ord_000299,boleto,1,1024.46
ord_000300,boleto,1,388.57
ord_000301,credit_card,1,1119.92
ord_000302,credit_card,6,1457.16
ord_000303,credit_card,5,51.79
ord_000304,credit_card,2,483.11
ord_000305,debit_card,1,590.31
ord_000306,credit_card,4,70.45
ord_000307,credit_card,6,938.66
ord_000308,voucher,1,764.95
ord_000309,credit_card,3,416.29
ord_000310,credit_card,1,118.07
ord_000311,credit_card,2,539.57
ord_000312,credit_card,3,258.84
ord_000313,voucher,1,775.72
ord_000314,credit_card,1,204.45
ord_000315,voucher,1,372.1
ord_000316,boleto,1,356.64
ord_000317,credit_card,4,403.98
ord_000318,credit_card,1,291.03
ord_000319,credit_card,1,603.14
ord_000320,credit_card,3,91.23
ord_000321,boleto,1,609.42
ord_000322,credit_card,1,602.02
ord_000323,boleto,1,310.44
ord_000324,voucher,1,160.86
ord_000325,credit_card,1,303.4
ord_000326,boleto,1,75.64
ord_000327,debit_card,1,1045.73
ord_000328,credit_card,2,574.17
ord_000329,credit_card,4,435.62
ord_000330,boleto,1,454.45
ord_000331,boleto,1,232.24
ord_000332,boleto,1,176.46
ord_000333,credit_card,10,489.98
ord_000334,credit_card,1,176.69
ord_000335,boleto,1,182.03
ord_000336,credit_card,3,264.02
ord_000337,credit_card,2,507.54
ord_000338,debit_card,1,489.36
ord_000339,boleto,1,270.87
ord_000340,credit_card,5,534.43
ord_000341,boleto,1,514.94
ord_000342,credit_card,1,98.07
ord_000343,credit_card,10,632.12
ord_000344,debit_card,1,990.08
ord_000345,credit_card,1,514.1
ord_000346,boleto,1,673.4
ord_000347,boleto,1,383.35
ord_000348,credit_card,1,664.99
ord_000349,debit_card,1,389.46
ord_000350,credit_card,1,163.93
ord_000351,boleto,1,1475.44
ord_000352,boleto,1,246.67
ord_000353,boleto,1,225.61
ord_000354,credit_card,3,579.66
ord_000355,credit_card,6,266.02
ord_000356,credit_card,5,488.77
ord_000357,voucher,1,372.17
ord_000358,credit_card,5,68.6
ord_000359,credit_card,2,241.42
ord_000360,voucher,1,405.4
ord_000361,credit_card,6,662.74
ord_000362,credit_card,4,301.24
ord_000363,debit_card,1,417.26
ord_000364,debit_card,1,125.87
ord_000365,boleto,1,1278.37
ord_000366,credit_card,2,139.46
ord_000367,credit_card,5,673.39
ord_000368,boleto,1,516.44
ord_000369,voucher,1,655.01
ord_000370,debit_card,1,535.66
ord_000371,credit_card,2,295.44
ord_000372,boleto,1,112.12
ord_000373,credit_card,1,778.68
ord_000374,debit_card,1,174.84
ord_000375,boleto,1,286.39
ord_000376,voucher,1,77.91
ord_000377,debit_card,1,429.94
ord_000378,boleto,1,693.18
ord_000379,boleto,1,1376.17
ord_000380,boleto,1,556.22
ord_000381,boleto,1,545.85
ord_000382,credit_card,1,912.23
ord_000383,boleto,1,406.83
ord_000384,boleto,1,670.78
ord_000385,voucher,1,488.26
ord_000386,boleto,1,603.35
ord_000387,credit_card,8,1943.75
ord_000388,boleto,1,241.98
ord_000389,debit_card,1,295.65
ord_000390,debit_card,1,455.86
ord_000391,boleto,1,534.53
ord_000392,voucher,1,491.21
ord_000393,credit_card,1,575.18
ord_000394,boleto,1,699.8
ord_000395,credit_card,3,832.82
ord_000396,credit_card,3,526.82
ord_000397,boleto,1,374.78
ord_000398,debit_card,1,673.39
ord_000399,credit_card,1,648.53
ord_000400,credit_card,8,131.86
ord_000401,boleto,1,114.3
ord_000402,credit_card,3,293.0
ord_000403,credit_card,1,542.09
ord_000404,boleto,1,635.75
ord_000405,boleto,1,876.6
ord_000406,credit_card,4,865.53
ord_000407,boleto,1,528.65
ord_000408,debit_card,1,682.43
ord_000409,voucher,1,815.47
ord_000410,boleto,1,1218.6
ord_000411,boleto,1,478.16
ord_000412,boleto,1,471.3
ord_000413,debit_card,1,135.78
ord_000414,debit_card,1,87.86
ord_000415,credit_card,1,217.05
ord_000416,credit_card,1,312.98
ord_000417,credit_card,3,501.01
ord_000418,voucher,1,560.26
ord_000419,debit_card,1,91.1
ord_000420,boleto,1,749.38
ord_000421,boleto,1,1234.52
ord_000422,credit_card,1,356.19
ord_000423,boleto,1,962.57
ord_000424,boleto,1,552.89
ord_000425,credit_card,1,50.95
ord_000426,boleto,1,448.64
ord_000427,credit_card,4,1079.48
ord_000428,credit_card,4,1105.73
ord_000429,credit_card,1,541.25
ord_000430,credit_card,10,340.0
ord_000431,boleto,1,464.76
ord_000432,debit_card,1,803.52
ord_000433,credit_card,1,611.21
ord_000434,boleto,1,560.13
ord_000435,debit_card,1,57.87
ord_000436,credit_card,4,275.4
ord_000437,credit_card,8,526.18
ord_000438,credit_card,5,380.31
ord_000439,debit_card,1,179.2
ord_000440,credit_card,1,473.45
ord_000441,credit_card,5,102.66
ord_000442,boleto,1,43.64
ord_000443,boleto,1,356.34
ord_000444,boleto,1,296.64
ord_000445,debit_card,1,506.12
ord_000446,credit_card,1,481.82
ord_000447,debit_card,1,1770.8
ord_000448,credit_card,1,457.86
ord_000449,boleto,1,772.22
ord_000450,debit_card,1,308.84
ord_000451,credit_card,12,1316.91
ord_000452,debit_card,1,611.31
ord_000453,voucher,1,1110.95
ord_000454,boleto,1,1101.78
ord_000455,credit_card,2,397.76
ord_000456,debit_card,1,78.95
ord_000457,credit_card,3,463.65
ord_000458,credit_card,10,170.38
ord_000459,credit_card,5,46.92
ord_000460,credit_card,1,679.76
ord_000461,credit_card,1,61.64
ord_000462,credit_card,2,220.58
ord_000463,voucher,1,235.34
ord_000464,boleto,1,122.04
ord_000465,debit_card,1,263.06
ord_000466,boleto,1,239.17
ord_000467,credit_card,1,483.99
ord_000468,debit_card,1,656.61
ord_000469,boleto,1,662.88
ord_000470,credit_card,1,568.68
ord_000471,credit_card,3,329.78
ord_000472,credit_card,1,355.18
ord_000473,credit_card,3,467.51
ord_000474,debit_card,1,369.47
ord_000475,credit_card,1,432.94
ord_000476,boleto,1,1303.98
ord_000477,credit_card,1,102.29
ord_000478,boleto,1,416.15
ord_000479,credit_card,2,301.58
ord_000480,credit_card,3,1165.25
ord_000481,boleto,1,715.22
ord_000482,boleto,1,209.56
ord_000483,credit_card,4,219.77
ord_000484,credit_card,8,617.3
ord_000485,credit_card,6,802.56
ord_000486,credit_card,2,415.46
ord_000487,voucher,1,305.78
ord_000488,boleto,1,283.46
ord_000489,credit_card,8,514.48
ord_000490,voucher,1,748.42
ord_000491,credit_card,1,494.72
ord_000492,credit_card,5,829.71
ord_000493,credit_card,4,1225.99
ord_000494,credit_card,1,1277.24
ord_000495,voucher,1,303.76
ord_000496,credit_card,5,119.55
ord_000497,credit_card,10,636.6
ord_000498,boleto,1,591.08
ord_000499,credit_card,8,55.77
ord_000500,credit_card,3,190.95
ord_000501,credit_card,10,336.95
ord_000502,credit_card,5,234.3
ord_000503,boleto,1,935.86
ord_000504,boleto,1,663.08
ord_000505,credit_card,6,586.63
ord_000506,credit_card,10,716.04
ord_000507,credit_card,6,319.64
ord_000508,debit_card,1,360.82
ord_000509,credit_card,4,839.83
ord_000510,credit_card,8,275.61
ord_000511,credit_card,8,519.71
ord_000512,boleto,1,1078.0
ord_000513,credit_card,1,57.83
ord_000514,boleto,1,145.79
ord_000515,credit_card,12,449.69
ord_000516,credit_card,3,692.07
ord_000517,credit_card,2,187.55
ord_000518,voucher,1,736.98
ord_000519,boleto,1,561.75
ord_000520,credit_card,1,592.16
ord_000521,debit_card,1,198.45
ord_000522,debit_card,1,674.31
ord_000523,boleto,1,109.99
ord_000524,boleto,1,90.9
ord_000525,boleto,1,1079.19
ord_000526,credit_card,4,529.52
ord_000527,credit_card,1,852.14
ord_000528,boleto,1,463.76
ord_000529,credit_card,5,275.07
ord_000530,credit_card,1,38.85
ord_000531,boleto,1,561.77
ord_000532,boleto,1,308.56
ord_000533,credit_card,4,598.35
ord_000534,voucher,1,656.69
ord_000535,debit_card,1,148.44
ord_000536,credit_card,8,86.98
ord_000537,credit_card,2,413.44
ord_000538,boleto,1,946.65
ord_000539,credit_card,4,385.31
ord_000540,credit_card,1,644.28
ord_000541,boleto,1,57.81
ord_000542,credit_card,12,456.1
ord_000543,credit_card,1,892.6
ord_000544,debit_card,1,404.29
ord_000545,credit_card,1,654.0
ord_000546,debit_card,1,689.73
ord_000547,voucher,1,1020.07
ord_000548,credit_card,4,142.04
ord_000549,boleto,1,456.48
ord_000550,credit_card,2,465.92
ord_000551,debit_card,1,1183.11
ord_000552,boleto,1,397.79
ord_000553,credit_card,5,1819.96
ord_000554,credit_card,1,356.83
ord_000555,credit_card,1,1325.29
ord_000556,voucher,1,1007.13
ord_000557,debit_card,1,85.9
ord_000558,credit_card,4,509.13
ord_000559,boleto,1,190.19
ord_000560,debit_card,1,642.13
ord_000561,debit_card,1,132.84
ord_000562,boleto,1,183.85
ord_000563,boleto,1,287.01
ord_000564,credit_card,2,570.17
ord_000565,credit_card,1,287.63
ord_000566,credit_card,10,743.02
ord_000567,debit_card,1,307.61
ord_000568,boleto,1,700.44
ord_000569,boleto,1,605.96
ord_000570,credit_card,1,607.98
ord_000571,credit_card,2,825.05
ord_000572,credit_card,3,228.59
ord_000573,credit_card,8,524.64
ord_000574,boleto,1,1850.63
ord_000575,credit_card,4,1219.8
ord_000576,boleto,1,147.51
ord_000577,credit_card,4,267.4
ord_000578,boleto,1,275.66
ord_000579,credit_card,5,120.48
ord_000580,boleto,1,221.57
ord_000581,credit_card,1,351.88
ord_000582,boleto,1,688.37
ord_000583,credit_card,2,1078.34
ord_000584,boleto,1,324.54
ord_000585,credit_card,3,258.42
ord_000586,credit_card,1,535.13
ord_000587,credit_card,8,186.05
ord_000588,credit_card,12,723.29
ord_000589,credit_card,1,290.94
ord_000590,credit_card,1,438.73
ord_000591,credit_card,10,504.74
ord_000592,credit_card,1,584.69
ord_000593,credit_card,4,659.23
ord_000594,credit_card,10,154.18
ord_000595,boleto,1,1227.21
ord_000596,boleto,1,84.77
ord_000597,credit_card,2,495.53
ord_000598,credit_card,6,1549.79
ord_000599,boleto,1,283.64
ord_000600,credit_card,2,655.99
ord_000601,credit_card,1,1495.86
ord_000602,voucher,1,139.31
ord_000603,credit_card,10,297.21
ord_000604,boleto,1,296.97
ord_000605,boleto,1,828.58
ord_000606,credit_card,2,173.65
ord_000607,credit_card,1,115.89
ord_000608,credit_card,6,654.18
ord_000609,debit_card,1,395.73
ord_000610,boleto,1,338.98
ord_000611,debit_card,1,458.97
ord_000612,voucher,1,543.19
ord_000613,boleto,1,133.15
ord_000614,boleto,1,994.65
ord_000615,boleto,1,456.6
ord_000616,credit_card,1,776.39
ord_000617,debit_card,1,783.85
ord_000618,boleto,1,149.77
ord_000619,credit_card,3,472.88
ord_000620,credit_card,5,740.62
ord_000621,credit_card,2,681.35
ord_000622,credit_card,1,213.2
ord_000623,credit_card,10,325.36
ord_000624,boleto,1,64.47
ord_000625,boleto,1,596.27
ord_000626,credit_card,5,667.71
ord_000627,credit_card,2,590.39
ord_000628,credit_card,1,464.71
ord_000629,voucher,1,88.27
ord_000630,credit_card,6,827.82
ord_000631,debit_card,1,116.2
ord_000632,boleto,1,79.65
ord_000633,credit_card,4,217.5
ord_000634,voucher,1,409.16
ord_000635,credit_card,2,166.72
ord_000636,voucher,1,499.81
ord_000637,credit_card,2,405.94
ord_000638,credit_card,6,442.59
ord_000639,boleto,1,1638.14
ord_000640,credit_card,5,778.33
ord_000641,debit_card,1,278.9
ord_000642,boleto,1,1000.14
ord_000643,credit_card,12,823.86
ord_000644,boleto,1,638.75
ord_000645,credit_card,2,199.26
ord_000646,boleto,1,356.26
ord_000647,credit_card,2,1543.28
ord_000648,boleto,1,198.28
ord_000649,credit_card,6,356.87
ord_000650,boleto,1,552.16
ord_000651,debit_card,1,360.9
ord_000652,credit_card,1,261.37
ord_000653,credit_card,1,265.13
ord_000654,voucher,1,572.05
ord_000655,debit_card,1,90.77
ord_000656,credit_card,3,536.5
ord_000657,credit_card,12,865.06
ord_000658,credit_card,1,536.42
ord_000659,boleto,1,106.92
ord_000660,credit_card,4,248.34
ord_000661,credit_card,5,1145.46
ord_000662,credit_card,5,370.46
ord_000663,credit_card,1,439.37
ord_000664,credit_card,1,1440.54
ord_000665,boleto,1,348.9
ord_000666,boleto,1,372.64
ord_000667,credit_card,8,300.03
ord_000668,credit_card,1,1139.2
ord_000669,credit_card,2,727.93
ord_000670,credit_card,5,306.78
ord_000671,credit_card,3,102.55
ord_000672,credit_card,1,609.97
ord_000673,debit_card,1,501.68
ord_000674,credit_card,1,405.99
ord_000675,credit_card,5,642.87
ord_000676,debit_card,1,576.91
ord_000677,credit_card,5,297.94
ord_000678,boleto,1,294.32
ord_000679,credit_card,1,652.4
ord_000680,boleto,1,93.61
ord_000681,boleto,1,309.06
ord_000682,voucher,1,455.73
ord_000683,debit_card,1,527.64
ord_000684,boleto,1,1599.25
ord_000685,credit_card,6,685.4
ord_000686,voucher,1,321.89
ord_000687,voucher,1,502.62
ord_000688,boleto,1,99.61
ord_000689,debit_card,1,326.29
ord_000690,boleto,1,75.6
ord_000691,voucher,1,140.07
ord_000692,credit_card,2,748.59
ord_000693,boleto,1,362.19
ord_000694,credit_card,5,460.68
ord_000695,boleto,1,163.27
ord_000696,credit_card,2,725.4
ord_000697,credit_card,4,467.02
ord_000698,boleto,1,178.77
ord_000699,voucher,1,1032.33
ord_000700,debit_card,1,576.09
ord_000701,boleto,1,553.23
ord_000702,credit_card,2,119.52
ord_000703,credit_card,10,66.84
ord_000704,debit_card,1,604.16
ord_000705,credit_card,2,394.72
ord_000706,credit_card,3,543.42
ord_000707,debit_card,1,465.24
ord_000708,boleto,1,367.32
ord_000709,credit_card,3,661.0
ord_000710,boleto,1,250.24
ord_000711,credit_card,4,509.52
ord_000712,credit_card,1,756.09
ord_000713,credit_card,1,543.8
ord_000714,credit_card,2,274.47
ord_000715,boleto,1,1250.36
ord_000716,credit_card,8,619.25
ord_000717,voucher,1,738.99
ord_000718,credit_card,1,563.39
ord_000719,credit_card,4,681.37
ord_000720,boleto,1,468.97
ord_000721,boleto,1,177.35
ord_000722,credit_card,3,864.53
ord_000723,debit_card,1,504.99
ord_000724,credit_card,3,170.42
ord_000725,debit_card,1,377.53
ord_000726,credit_card,4,95.54
ord_000727,boleto,1,388.76
ord_000728,credit_card,1,336.73
ord_000729,boleto,1,59.2
ord_000730,credit_card,4,265.94
ord_000731,debit_card,1,872.06
ord_000732,credit_card,4,181.42
ord_000733,boleto,1,489.43
ord_000734,boleto,1,365.18
ord_000735,credit_card,2,127.58
ord_000736,boleto,1,481.16
ord_000737,credit_card,10,390.42
ord_000738,credit_card,2,601.99
ord_000739,credit_card,1,389.81
ord_000740,boleto,1,392.99
ord_000741,voucher,1,653.18
ord_000742,boleto,1,371.63
ord_000743,boleto,1,95.84
ord_000744,credit_card,8,316.25
ord_000745,credit_card,5,446.81
ord_000746,credit_card,1,347.72
ord_000747,boleto,1,253.4
ord_000748,voucher,1,139.41
ord_000749,boleto,1,1064.07
ord_000750,voucher,1,466.35
ord_000751,boleto,1,548.81
ord_000752,credit_card,6,318.19
ord_000753,credit_card,12,334.01
ord_000754,boleto,1,594.58
ord_000755,boleto,1,367.07
ord_000756,credit_card,3,599.26
ord_000757,debit_card,1,225.88
ord_000758,debit_card,1,623.26
ord_000759,boleto,1,486.16
ord_000760,voucher,1,1159.42
ord_000761,credit_card,1,794.18
ord_000762,credit_card,1,311.94
ord_000763,boleto,1,1481.92
ord_000764,credit_card,1,208.19
ord_000765,boleto,1,1313.88
ord_000766,credit_card,10,542.18
ord_000767,credit_card,10,1050.06
ord_000768,boleto,1,677.23
ord_000769,boleto,1,277.07
ord_000770,voucher,1,448.29
ord_000771,credit_card,1,1215.79
ord_000772,boleto,1,1173.82
ord_000773,credit_card,12,583.13
ord_000774,boleto,1,787.07
ord_000775,credit_card,3,450.42
ord_000776,credit_card,12,261.27
ord_000777,boleto,1,84.94
ord_000778,voucher,1,475.7
ord_000779,credit_card,1,626.85
ord_000780,voucher,1,139.13
ord_000781,boleto,1,655.95
ord_000782,credit_card,1,1078.14
ord_000783,credit_card,1,1230.35
ord_000784,boleto,1,223.79
ord_000785,credit_card,1,583.56
ord_000786,voucher,1,1297.35
ord_000787,boleto,1,496.97
ord_000788,boleto,1,539.07
ord_000789,credit_card,1,324.84
ord_000790,credit_card,3,258.74
ord_000791,credit_card,1,422.74
ord_000792,credit_card,5,147.01
ord_000793,credit_card,1,385.93
ord_000794,debit_card,1,68.53
ord_000795,boleto,1,701.69
ord_000796,voucher,1,389.22
ord_000797,credit_card,5,61.77
ord_000798,voucher,1,509.75
ord_000799,credit_card,3,233.22
ord_000800,boleto,1,397.11
ord_000801,boleto,1,201.36
ord_000802,credit_card,1,898.85
ord_000803,boleto,1,547.82
ord_000804,boleto,1,480.93
ord_000805,voucher,1,361.29
ord_000806,boleto,1,283.05
ord_000807,credit_card,12,1273.4
ord_000808,credit_card,4,497.44
ord_000809,credit_card,1,173.57
ord_000810,boleto,1,562.51
ord_000811,boleto,1,791.22
ord_000812,credit_card,4,292.05
ord_000813,credit_card,2,455.29
ord_000814,debit_card,1,1191.24
ord_000815,credit_card,5,387.46
ord_000816,voucher,1,559.86
ord_000817,voucher,1,745.96
ord_000818,voucher,1,495.11
ord_000819,boleto,1,262.3
ord_000820,credit_card,1,759.07
ord_000821,credit_card,5,653.58
ord_000822,boleto,1,146.38
ord_000823,boleto,1,77.2
ord_000824,boleto,1,579.35
ord_000825,credit_card,4,248.96
ord_000826,credit_card,2,614.18
ord_000827,credit_card,2,422.45
ord_000828,boleto,1,139.77
ord_000829,boleto,1,367.17
ord_000830,credit_card,1,1146.66
ord_000831,credit_card,6,680.08
ord_000832,boleto,1,524.24
ord_000833,credit_card,2,332.03
ord_000834,credit_card,1,701.26
