order_id,customer_id,order_status,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,customer_state,review_score
ord_000020,cust_04543,delivered,2017-04-17 21:08:00,2017-04-24 21:08:00,2017-04-22 21:08:00,SP,4
ord_000021,cust_02162,delivered,2017-09-15 20:54:00,2017-09-19 20:54:00,2017-09-20 20:54:00,MG,5
ord_000022,cust_04519,delivered,2018-07-29 00:04:00,2018-08-17 00:04:00,2018-08-20 00:04:00,SC,3
ord_000023,cust_02525,delivered,2017-02-10 20:13:00,2017-02-20 20:13:00,2017-02-20 20:13:00,RJ,5
ord_000024,cust_01450,delivered,2017-01-26 09:59:00,2017-02-07 09:59:00,2017-01-31 09:59:00,CE,3
ord_000025,cust_00317,delivered,2017-08-16 10:58:00,2017-08-20 10:58:00,2017-08-21 10:58:00,PE,5
ord_000026,cust_05566,delivered,2018-07-04 11:01:00,2018-07-13 11:01:00,2018-07-16 11:01:00,SE,5
ord_000027,cust_03574,processing,2018-06-08 08:57:00,,2018-07-01 08:57:00,RS,
ord_000028,cust_06078,delivered,2017-07-21 12:04:00,2017-08-02 12:04:00,2017-07-29 12:04:00,SC,2
ord_000029,cust_03345,delivered,2017-10-30 14:12:00,2017-11-05 14:12:00,2017-11-04 14:12:00,SP,4
ord_000030,cust_02639,delivered,2018-03-29 16:32:00,2018-04-11 16:32:00,2018-04-04 16:32:00,RJ,2
ord_000031,cust_01631,delivered,2017-02-17 10:30:00,2017-02-25 10:30:00,2017-02-23 10:30:00,SP,3
ord_000032,cust_01998,canceled,2017-01-06 20:55:00,,2017-01-29 20:55:00,SP,
ord_000033,cust_04566,delivered,2017-05-05 13:51:00,2017-05-15 13:51:00,2017-05-12 13:51:00,SP,3
ord_000034,cust_04488,delivered,2017-06-12 17:30:00,2017-06-20 17:30:00,2017-06-17 17:30:00,RJ,1
ord_000035,cust_02340,delivered,2017-12-10 11:34:00,2017-12-31 11:34:00,2017-12-30 11:34:00,SP,3
ord_000036,cust_01694,canceled,2018-02-03 20:37:00,,2018-02-25 20:37:00,GO,
ord_000037,cust_03432,delivered,2018-07-14 18:57:00,2018-07-25 18:57:00,2018-07-24 18:57:00,MG,4
ord_000038,cust_01045,delivered,2018-07-01 01:25:00,2018-07-07 01:25:00,2018-07-11 01:25:00,SE,4
ord_000039,cust_01733,delivered,2017-12-12 17:24:00,2017-12-28 17:24:00,2017-12-27 17:24:00,RJ,2
ord_000040,cust_05325,canceled,2017-02-11 17:15:00,,2017-02-25 17:15:00,SP,
ord_000041,cust_02099,delivered,2017-06-21 15:47:00,2017-06-26 15:47:00,2017-06-29 15:47:00,BA,5
ord_000042,cust_00834,delivered,2017-11-05 19:38:00,2017-11-18 19:38:00,2017-11-14 19:38:00,SC,4
ord_000043,cust_00864,delivered,2018-01-06 15:53:00,2018-01-09 15:53:00,2018-01-12 15:53:00,RJ,4
ord_000044,cust_02011,delivered,2017-03-30 11:28:00,2017-04-04 11:28:00,2017-04-04 11:28:00,GO,4
ord_000045,cust_02116,unavailable,2017-10-10 14:33:00,,2017-11-02 14:33:00,SP,
ord_000046,cust_04020,delivered,2017-01-18 08:14:00,2017-01-30 08:14:00,2017-01-25 08:14:00,RJ,2
ord_000047,cust_05757,delivered,2017-11-10 10:07:00,2017-11-25 10:07:00,2017-11-19 10:07:00,RJ,3
ord_000048,cust_05935,delivered,2018-06-22 15:06:00,2018-07-04 15:06:00,2018-07-04 15:06:00,RS,5
ord_000049,cust_04533,delivered,2017-05-10 15:48:00,2017-05-21 15:48:00,2017-05-17 15:48:00,SP,5
ord_000050,cust_00934,canceled,2018-02-15 13:36:00,,2018-03-01 13:36:00,GO,
ord_000051,cust_05066,delivered,2018-06-20 12:58:00,2018-06-30 12:58:00,2018-06-29 12:58:00,SP,2
ord_000052,cust_01728,canceled,2017-03-25 09:11:00,,2017-04-17 09:11:00,SP,
ord_000053,cust_05791,delivered,2018-04-10 07:14:00,2018-04-14 07:14:00,2018-04-15 07:14:00,SP,4
ord_000054,cust_01220,delivered,2017-05-26 07:10:00,2017-06-17 07:10:00,2017-06-18 07:10:00,PA,4
ord_000055,cust_04423,delivered,2017-03-24 15:56:00,2017-04-02 15:56:00,2017-04-03 15:56:00,MG,1
ord_000056,cust_05507,delivered,2018-08-14 05:48:00,2018-08-31 05:48:00,2018-08-29 05:48:00,GO,4
ord_000057,cust_02361,delivered,2018-02-15 18:35:00,2018-02-28 18:35:00,2018-03-01 18:35:00,PR,5
ord_000058,cust_04444,delivered,2017-02-25 09:23:00,2017-02-28 09:23:00,2017-03-02 09:23:00,RJ,5
ord_000059,cust_04987,canceled,2017-06-12 11:00:00,,2017-06-25 11:00:00,DF,
ord_000060,cust_05870,delivered,2017-10-07 12:30:00,2017-10-20 12:30:00,2017-10-17 12:30:00,SP,1
ord_000061,cust_00571,delivered,2018-03-01 11:50:00,2018-03-11 11:50:00,2018-03-12 11:50:00,SP,5
ord_000062,cust_03090,delivered,2017-11-26 19:44:00,2017-12-04 19:44:00,2017-12-01 19:44:00,RJ,5
ord_000063,cust_04057,delivered,2017-05-10 13:37:00,2017-05-25 13:37:00,2017-05-17 13:37:00,RN,4
ord_000064,cust_01264,delivered,2017-09-29 11:44:00,2017-10-16 11:44:00,2017-10-16 11:44:00,SP,2
ord_000065,cust_05170,delivered,2017-10-22 23:47:00,2017-11-07 23:47:00,2017-10-31 23:47:00,PR,1
ord_000066,cust_00459,delivered,2018-01-19 13:15:00,2018-01-26 13:15:00,2018-01-24 13:15:00,SP,4
ord_000067,cust_04076,delivered,2017-05-27 10:40:00,2017-06-11 10:40:00,2017-06-04 10:40:00,PA,5
ord_000068,cust_02450,delivered,2018-03-11 16:29:00,2018-03-24 16:29:00,2018-03-23 16:29:00,RS,4
ord_000069,cust_03242,canceled,2018-08-03 19:49:00,,2018-08-28 19:49:00,SP,
ord_000070,cust_02053,canceled,2017-05-21 15:57:00,,2017-06-14 15:57:00,PR,
ord_000071,cust_02676,delivered,2017-06-29 10:50:00,2017-07-15 10:50:00,2017-07-12 10:50:00,BA,5
ord_000072,cust_02417,delivered,2017-12-13 18:29:00,2017-12-22 18:29:00,2017-12-24 18:29:00,BA,1
ord_000073,cust_04395,delivered,2018-01-13 16:43:00,2018-01-24 16:43:00,2018-01-19 16:43:00,SP,2
ord_000074,cust_03344,delivered,2017-02-16 21:19:00,2017-02-22 21:19:00,2017-02-24 21:19:00,SP,5
ord_000075,cust_01265,delivered,2017-04-12 19:39:00,2017-04-18 19:39:00,2017-04-23 19:39:00,CE,5
ord_000076,cust_03009,delivered,2018-01-03 07:17:00,2018-01-19 07:17:00,2018-01-11 07:17:00,MG,4
ord_000077,cust_01681,delivered,2018-07-22 10:13:00,2018-08-09 10:13:00,2018-08-02 10:13:00,SP,1
ord_000078,cust_01064,canceled,2017-06-28 08:55:00,,2017-07-15 08:55:00,MG,
ord_000079,cust_00931,delivered,2018-05-03 13:23:00,2018-05-14 13:23:00,2018-05-11 13:23:00,BA,2
ord_000080,cust_05270,delivered,2017-03-04 23:54:00,2017-03-21 23:54:00,2017-03-19 23:54:00,RN,1
ord_000081,cust_05114,delivered,2018-07-16 16:24:00,2018-07-29 16:24:00,2018-07-27 16:24:00,RS,4
ord_000082,cust_04516,delivered,2017-08-09 12:56:00,2017-08-17 12:56:00,2017-08-15 12:56:00,SC,5
ord_000083,cust_05626,delivered,2017-03-10 08:05:00,2017-03-23 08:05:00,2017-03-17 08:05:00,MA,4
ord_000084,cust_03365,delivered,2018-03-10 19:46:00,2018-03-29 19:46:00,2018-03-30 19:46:00,RJ,3
ord_000085,cust_04556,delivered,2017-10-13 14:51:00,2017-10-24 14:51:00,2017-10-18 14:51:00,RJ,4
ord_000086,cust_02531,delivered,2017-12-26 00:55:00,2018-01-14 00:55:00,2018-01-18 00:55:00,MA,4
ord_000087,cust_02792,delivered,2017-11-16 16:49:00,2017-11-19 16:49:00,2017-11-24 16:49:00,SP,5
ord_000088,cust_03473,canceled,2018-03-29 12:13:00,,2018-04-21 12:13:00,MG,
ord_000089,cust_02526,delivered,2018-02-09 23:03:00,2018-02-25 23:03:00,2018-02-27 23:03:00,SP,4
ord_000090,cust_04577,delivered,2017-12-29 07:55:00,2018-01-10 07:55:00,2018-01-08 07:55:00,GO,4
ord_000091,cust_05649,delivered,2017-04-01 13:06:00,2017-04-11 13:06:00,2017-04-08 13:06:00,MA,1
ord_000092,cust_05187,delivered,2018-06-07 09:49:00,2018-06-19 09:49:00,2018-06-12 09:49:00,SP,2
ord_000093,cust_05369,delivered,2018-05-21 13:36:00,2018-05-24 13:36:00,2018-05-26 13:36:00,SP,4
ord_000094,cust_03602,delivered,2018-03-29 15:50:00,2018-04-08 15:50:00,2018-04-05 15:50:00,SP,4
ord_000095,cust_00739,delivered,2018-06-04 12:37:00,2018-06-17 12:37:00,2018-06-22 12:37:00,RS,5
ord_000096,cust_01235,delivered,2018-04-07 08:57:00,2018-04-26 08:57:00,2018-04-30 08:57:00,RN,5
ord_000097,cust_04282,delivered,2018-01-08 12:18:00,2018-01-17 12:18:00,2018-01-13 12:18:00,RS,4
ord_000098,cust_02327,delivered,2017-06-03 11:37:00,2017-06-10 11:37:00,2017-06-11 11:37:00,SP,5
ord_000099,cust_06052,delivered,2018-06-24 08:42:00,2018-07-13 08:42:00,2018-07-14 08:42:00,AM,3
ord_000100,cust_00632,delivered,2017-04-14 13:34:00,2017-04-30 13:34:00,2017-05-05 13:34:00,SP,3
ord_000101,cust_01481,delivered,2017-06-19 16:02:00,2017-07-02 16:02:00,2017-07-04 16:02:00,GO,5
ord_000102,cust_03609,delivered,2017-10-16 17:32:00,2017-10-25 17:32:00,2017-10-21 17:32:00,RJ,3
ord_000103,cust_03040,delivered,2017-04-16 16:33:00,2017-04-30 16:33:00,2017-04-23 16:33:00,MG,1
ord_000104,cust_01818,delivered,2017-12-24 21:26:00,2018-01-05 21:26:00,2018-01-07 21:26:00,GO,5
ord_000105,cust_02746,delivered,2017-05-21 04:58:00,2017-06-06 04:58:00,2017-06-09 04:58:00,DF,5
ord_000106,cust_04987,unavailable,2017-04-24 17:15:00,,2017-05-17 17:15:00,MG,
ord_000107,cust_04391,delivered,2018-06-12 14:45:00,2018-06-20 14:45:00,2018-06-17 14:45:00,SP,3
ord_000108,cust_04309,delivered,2018-06-04 14:24:00,2018-06-14 14:24:00,2018-06-13 14:24:00,MG,2
ord_000109,cust_05608,delivered,2018-05-06 15:51:00,2018-05-16 15:51:00,2018-05-14 15:51:00,RJ,2
ord_000110,cust_03262,unavailable,2018-07-11 13:02:00,,2018-08-01 13:02:00,TO,
ord_000111,cust_03602,delivered,2018-01-31 11:11:00,2018-02-04 11:11:00,2018-02-05 11:11:00,CE,5
ord_000112,cust_04468,delivered,2017-04-16 07:42:00,2017-04-29 07:42:00,2017-04-23 07:42:00,SP,3
ord_000113,cust_03563,delivered,2017-02-28 07:40:00,2017-03-13 07:40:00,2017-03-07 07:40:00,SP,1
ord_000114,cust_00550,delivered,2018-01-11 12:36:00,2018-01-23 12:36:00,2018-01-21 12:36:00,SP,3
ord_000115,cust_04601,delivered,2017-09-24 16:13:00,2017-10-04 16:13:00,2017-10-02 16:13:00,SP,4
ord_000116,cust_00719,delivered,2017-11-24 16:45:00,2017-11-28 16:45:00,2017-11-29 16:45:00,DF,3
ord_000117,cust_04047,delivered,2018-07-22 14:29:00,2018-07-31 14:29:00,2018-07-27 14:29:00,SP,3
ord_000118,cust_01026,delivered,2017-03-17 13:43:00,2017-03-27 13:43:00,2017-03-22 13:43:00,AL,2
ord_000119,cust_01348,delivered,2017-08-19 11:33:00,2017-08-26 11:33:00,2017-08-27 11:33:00,SP,5
ord_000120,cust_00765,delivered,2017-06-22 14:37:00,2017-07-03 14:37:00,2017-06-27 14:37:00,MG,4
ord_000121,cust_00248,delivered,2018-07-13 11:19:00,2018-07-27 11:19:00,2018-07-22 11:19:00,MG,3
ord_000122,cust_02786,delivered,2017-11-17 19:20:00,2017-12-08 19:20:00,2017-12-07 19:20:00,RS,3
ord_000123,cust_02191,delivered,2017-05-25 08:18:00,2017-06-06 08:18:00,2017-06-05 08:18:00,RJ,3
ord_000124,cust_02561,delivered,2017-06-13 13:32:00,2017-06-26 13:32:00,2017-06-24 13:32:00,SP,3
ord_000125,cust_00414,delivered,2018-04-27 11:00:00,2018-05-08 11:00:00,2018-05-09 11:00:00,SP,2
ord_000126,cust_04130,canceled,2018-07-18 11:39:00,,2018-07-31 11:39:00,RJ,
ord_000127,cust_06184,delivered,2018-06-06 12:02:00,2018-06-09 12:02:00,2018-06-11 12:02:00,SP,5
ord_000128,cust_02451,delivered,2018-06-04 19:34:00,2018-06-15 19:34:00,2018-06-13 19:34:00,RS,1
ord_000129,cust_03887,delivered,2018-08-16 14:46:00,2018-08-28 14:46:00,2018-08-25 14:46:00,SP,1
ord_000130,cust_05738,delivered,2017-01-20 13:26:00,2017-02-13 13:26:00,2017-02-12 13:26:00,SP,4
ord_000131,cust_04249,delivered,2017-11-29 23:30:00,2017-12-10 23:30:00,2017-12-13 23:30:00,SP,5
ord_000132,cust_05576,delivered,2017-09-28 15:12:00,2017-10-11 15:12:00,2017-10-12 15:12:00,PR,4
ord_000133,cust_05775,delivered,2018-05-07 11:59:00,2018-05-18 11:59:00,2018-05-19 11:59:00,MG,5
ord_000134,cust_01199,delivered,2017-10-22 22:05:00,2017-10-28 22:05:00,2017-10-29 22:05:00,SP,4
ord_000135,cust_00415,delivered,2018-06-28 10:14:00,2018-07-15 10:14:00,2018-07-09 10:14:00,PR,2
ord_000136,cust_05348,delivered,2018-05-03 13:12:00,2018-05-18 13:12:00,2018-05-19 13:12:00,MT,5
ord_000137,cust_05923,delivered,2017-02-08 20:11:00,2017-02-23 20:11:00,2017-02-28 20:11:00,ES,5
ord_000138,cust_01099,delivered,2018-04-25 11:51:00,2018-05-02 11:51:00,2018-04-30 11:51:00,ES,4
ord_000139,cust_01582,delivered,2018-02-20 18:32:00,2018-03-11 18:32:00,2018-03-15 18:32:00,SP,4
ord_000140,cust_06174,processing,2017-12-04 11:46:00,,2017-12-25 11:46:00,SP,
ord_000141,cust_03321,delivered,2017-11-15 16:40:00,2017-11-19 16:40:00,2017-11-20 16:40:00,PR,5
ord_000142,cust_03060,delivered,2018-07-17 20:48:00,2018-07-31 20:48:00,2018-08-02 20:48:00,RJ,5
ord_000143,cust_00919,canceled,2018-07-15 20:12:00,,2018-08-04 20:12:00,SP,
ord_000144,cust_00455,delivered,2018-06-10 12:36:00,2018-07-02 12:36:00,2018-06-25 12:36:00,RJ,1
ord_000145,cust_03470,unavailable,2017-03-07 14:03:00,,2017-04-01 14:03:00,RJ,
ord_000146,cust_05974,delivered,2018-03-07 12:57:00,2018-03-14 12:57:00,2018-03-13 12:57:00,PR,2
ord_000147,cust_01462,delivered,2018-02-07 14:46:00,2018-02-21 14:46:00,2018-02-22 14:46:00,AP,4
ord_000148,cust_03773,canceled,2017-10-10 09:56:00,,2017-11-02 09:56:00,RJ,
ord_000149,cust_00551,canceled,2017-02-04 13:43:00,,2017-02-15 13:43:00,SP,
ord_000150,cust_00462,delivered,2017-10-24 10:58:00,2017-11-05 10:58:00,2017-11-01 10:58:00,SP,2
ord_000151,cust_04560,canceled,2017-06-29 15:27:00,,2017-07-20 15:27:00,PB,
ord_000152,cust_02463,delivered,2017-05-28 18:58:00,2017-06-06 18:58:00,2017-06-05 18:58:00,PE,5
ord_000153,cust_03039,delivered,2017-07-15 06:24:00,2017-07-19 06:24:00,2017-07-20 06:24:00,SP,4
ord_000154,cust_01711,delivered,2017-12-07 11:58:00,2017-12-19 11:58:00,2017-12-13 11:58:00,PE,2
ord_000155,cust_01960,delivered,2017-10-17 12:34:00,2017-10-23 12:34:00,2017-10-23 12:34:00,MG,5
ord_000156,cust_02623,unavailable,2018-01-15 11:02:00,,2018-01-29 11:02:00,PA,
ord_000157,cust_02418,delivered,2017-12-04 10:36:00,2017-12-18 10:36:00,2017-12-13 10:36:00,SP,3
ord_000158,cust_01507,delivered,2018-07-10 23:03:00,2018-07-17 23:03:00,2018-07-21 23:03:00,MA,5
ord_000159,cust_05462,delivered,2018-05-10 15:01:00,2018-05-29 15:01:00,2018-06-03 15:01:00,MT,5
ord_000160,cust_03527,processing,2017-07-03 08:06:00,,2017-07-21 08:06:00,DF,
ord_000161,cust_01850,canceled,2017-03-24 15:54:00,,2017-04-15 15:54:00,SP,
ord_000162,cust_01403,delivered,2018-03-21 15:21:00,2018-03-29 15:21:00,2018-04-02 15:21:00,SP,5
ord_000163,cust_05606,delivered,2018-07-11 14:02:00,2018-07-21 14:02:00,2018-07-26 14:02:00,MT,4
ord_000164,cust_06189,delivered,2017-03-22 13:22:00,2017-04-07 13:22:00,2017-03-30 13:22:00,BA,2
ord_000165,cust_05194,delivered,2018-04-07 13:22:00,2018-04-12 13:22:00,2018-04-15 13:22:00,SP,5
ord_000166,cust_05841,canceled,2017-10-02 09:45:00,,2017-10-24 09:45:00,SP,
ord_000167,cust_02948,delivered,2017-04-15 09:11:00,2017-04-28 09:11:00,2017-04-25 09:11:00,BA,2
ord_000168,cust_03155,delivered,2018-02-28 12:05:00,2018-03-18 12:05:00,2018-03-20 12:05:00,SP,4
ord_000169,cust_04039,delivered,2017-06-21 13:26:00,2017-06-24 13:26:00,2017-06-26 13:26:00,SP,3
ord_000170,cust_02495,delivered,2018-02-10 11:39:00,2018-02-22 11:39:00,2018-02-20 11:39:00,SP,2
ord_000171,cust_05695,delivered,2017-11-18 09:25:00,2017-12-01 09:25:00,2017-11-25 09:25:00,SP,2
ord_000172,cust_03218,delivered,2018-08-01 10:34:00,2018-08-16 10:34:00,2018-08-21 10:34:00,RJ,4
ord_000173,cust_05395,delivered,2018-03-10 18:04:00,2018-03-15 18:04:00,2018-03-15 18:04:00,SP,5
ord_000174,cust_02945,delivered,2018-07-04 15:58:00,2018-07-09 15:58:00,2018-07-09 15:58:00,SC,5
ord_000175,cust_06165,delivered,2018-03-17 08:06:00,2018-03-31 08:06:00,2018-03-28 08:06:00,SP,4
ord_000176,cust_05656,delivered,2017-12-20 23:30:00,2018-01-02 23:30:00,2018-01-06 23:30:00,MG,4
ord_000177,cust_03956,delivered,2017-04-10 13:44:00,2017-04-23 13:44:00,2017-04-28 13:44:00,RJ,3
ord_000178,cust_01311,delivered,2018-03-13 22:14:00,2018-03-26 22:14:00,2018-03-29 22:14:00,SP,4
ord_000179,cust_04851,delivered,2017-01-05 16:13:00,2017-01-13 16:13:00,2017-01-10 16:13:00,RJ,3
ord_000180,cust_02149,delivered,2018-05-17 14:40:00,2018-05-30 14:40:00,2018-05-29 14:40:00,PR,4
ord_000181,cust_02436,delivered,2018-08-28 07:08:00,2018-09-10 07:08:00,2018-09-14 07:08:00,MA,4
ord_000182,cust_01521,delivered,2018-07-05 16:41:00,2018-07-13 16:41:00,2018-07-16 16:41:00,MG,2
ord_000183,cust_02941,delivered,2018-05-12 09:52:00,2018-06-02 09:52:00,2018-05-28 09:52:00,PB,1
ord_000184,cust_00252,delivered,2017-08-14 11:17:00,2017-08-28 11:17:00,2017-08-21 11:17:00,DF,1
ord_000185,cust_04449,delivered,2018-01-11 14:48:00,2018-01-17 14:48:00,2018-01-16 14:48:00,GO,5
ord_000186,cust_00264,delivered,2017-12-23 19:05:00,2018-01-07 19:05:00,2017-12-31 19:05:00,RJ,4
ord_000187,cust_01695,canceled,2018-08-07 12:17:00,,2018-08-26 12:17:00,DF,
ord_000188,cust_05564,delivered,2017-05-19 22:50:00,2017-05-26 22:50:00,2017-05-27 22:50:00,GO,5
ord_000189,cust_04730,delivered,2018-03-01 12:04:00,2018-03-16 12:04:00,2018-03-20 12:04:00,RS,5
ord_000190,cust_03998,delivered,2017-01-03 19:54:00,2017-01-20 19:54:00,2017-01-18 19:54:00,SP,3
ord_000191,cust_03519,delivered,2018-05-22 11:53:00,2018-05-29 11:53:00,2018-06-01 11:53:00,GO,3
ord_000192,cust_03764,delivered,2017-06-11 13:00:00,2017-06-27 13:00:00,2017-06-21 13:00:00,SP,1
ord_000193,cust_05124,canceled,2017-08-28 12:05:00,,2017-09-22 12:05:00,SP,
ord_000194,cust_00066,delivered,2017-05-04 23:27:00,2017-05-18 23:27:00,2017-05-20 23:27:00,SC,5
ord_000195,cust_01123,delivered,2017-05-17 15:43:00,2017-06-02 15:43:00,2017-06-07 15:43:00,RJ,5
ord_000196,cust_05046,delivered,2017-08-11 07:06:00,2017-09-01 07:06:00,2017-08-26 07:06:00,PR,1
ord_000197,cust_04533,delivered,2017-10-19 17:44:00,2017-10-29 17:44:00,2017-10-30 17:44:00,RS,5
ord_000198,cust_01960,delivered,2017-04-26 10:40:00,2017-05-04 10:40:00,2017-05-09 10:40:00,MG,2
ord_000199,cust_00495,delivered,2018-02-12 13:40:00,2018-02-19 13:40:00,2018-02-18 13:40:00,PB,2
ord_000200,cust_02538,delivered,2017-07-28 22:09:00,2017-08-04 22:09:00,2017-08-02 22:09:00,SP,2
ord_000201,cust_03559,canceled,2017-02-26 11:47:00,,2017-03-08 11:47:00,SP,
ord_000202,cust_04284,delivered,2017-09-23 09:08:00,2017-10-04 09:08:00,2017-09-28 09:08:00,MG,3
ord_000203,cust_00631,delivered,2018-06-08 12:31:00,2018-06-21 12:31:00,2018-06-24 12:31:00,MG,4
ord_000204,cust_04168,delivered,2017-01-13 10:30:00,2017-01-26 10:30:00,2017-01-29 10:30:00,SP,4
ord_000205,cust_04112,unavailable,2017-02-23 09:51:00,,2017-03-17 09:51:00,PR,
ord_000206,cust_04530,delivered,2018-01-13 10:36:00,2018-01-29 10:36:00,2018-01-31 10:36:00,RJ,4
ord_000207,cust_04477,delivered,2017-09-09 09:59:00,2017-09-21 09:59:00,2017-09-21 09:59:00,BA,4
ord_000208,cust_06046,delivered,2017-04-17 10:15:00,2017-05-06 10:15:00,2017-05-09 10:15:00,SC,5
ord_000209,cust_03051,delivered,2017-03-28 14:32:00,2017-04-07 14:32:00,2017-04-11 14:32:00,RJ,5
ord_000210,cust_03219,delivered,2017-12-01 11:17:00,2017-12-26 11:17:00,2017-12-29 11:17:00,SC,4
ord_000211,cust_02525,delivered,2017-05-03 08:51:00,2017-05-18 08:51:00,2017-05-12 08:51:00,RJ,4
ord_000212,cust_02914,delivered,2017-02-20 16:16:00,2017-02-27 16:16:00,2017-02-26 16:16:00,RJ,1
ord_000213,cust_01820,unavailable,2018-02-15 12:40:00,,2018-03-05 12:40:00,SP,
ord_000214,cust_03776,canceled,2018-08-11 13:46:00,,2018-09-03 13:46:00,SP,
ord_000215,cust_00283,delivered,2017-09-09 15:31:00,2017-09-15 15:31:00,2017-09-20 15:31:00,RS,4
ord_000216,cust_04453,delivered,2018-01-27 17:22:00,2018-02-10 17:22:00,2018-02-10 17:22:00,DF,5
ord_000217,cust_01906,delivered,2017-04-13 10:15:00,2017-04-23 10:15:00,2017-04-18 10:15:00,PI,3
ord_000218,cust_01423,delivered,2018-08-30 11:47:00,2018-09-14 11:47:00,2018-09-19 11:47:00,SP,5
ord_000219,cust_04032,delivered,2017-06-29 13:05:00,2017-07-13 13:05:00,2017-07-18 13:05:00,MG,5
ord_000220,cust_02650,delivered,2017-06-01 14:58:00,2017-06-12 14:58:00,2017-06-09 14:58:00,SP,2
ord_000221,cust_03578,delivered,2018-05-14 15:11:00,2018-05-21 15:11:00,2018-05-19 15:11:00,DF,4
ord_000222,cust_05750,canceled,2018-02-05 19:49:00,,2018-02-25 19:49:00,PB,
ord_000223,cust_00726,delivered,2017-12-10 13:16:00,2017-12-14 13:16:00,2017-12-15 13:16:00,GO,5
ord_000224,cust_03391,delivered,2018-01-23 12:24:00,2018-02-01 12:24:00,2018-01-28 12:24:00,MG,1
ord_000225,cust_00164,delivered,2017-04-18 07:10:00,2017-05-04 07:10:00,2017-05-08 07:10:00,SP,5
ord_000226,cust_03954,delivered,2018-03-18 21:10:00,2018-03-31 21:10:00,2018-04-05 21:10:00,SC,5
ord_000227,cust_05979,delivered,2017-10-16 11:06:00,2017-10-21 11:06:00,2017-10-21 11:06:00,MG,5
ord_000228,cust_03934,delivered,2017-01-27 10:40:00,2017-02-08 10:40:00,2017-02-01 10:40:00,SP,4
ord_000229,cust_03174,delivered,2018-01-26 12:28:00,2018-02-08 12:28:00,2018-02-09 12:28:00,SP,3
ord_000230,cust_02816,delivered,2018-02-28 22:37:00,2018-03-07 22:37:00,2018-03-06 22:37:00,DF,5
ord_000231,cust_05851,delivered,2018-08-08 20:51:00,2018-08-20 20:51:00,2018-08-23 20:51:00,SP,5
ord_000232,cust_01578,delivered,2018-03-10 07:43:00,2018-03-22 07:43:00,2018-03-17 07:43:00,SP,1
ord_000233,cust_04557,delivered,2017-11-30 19:33:00,2017-12-06 19:33:00,2017-12-05 19:33:00,RJ,3
ord_000234,cust_04773,delivered,2017-04-13 21:36:00,2017-04-26 21:36:00,2017-04-18 21:36:00,BA,3
ord_000235,cust_04988,delivered,2017-06-26 11:09:00,2017-07-10 11:09:00,2017-07-09 11:09:00,MG,4
ord_000236,cust_02200,delivered,2017-01-21 11:50:00,2017-02-07 11:50:00,2017-02-05 11:50:00,CE,4
ord_000237,cust_04955,delivered,2017-07-12 13:58:00,2017-07-29 13:58:00,2017-07-22 13:58:00,PR,1
